@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
60,'2019/05/26 17:36:27:204',3,509.275085,325.65155,49.111443,396.274658,282.534393,61.501431,354.176514,276.705658,61.564945,369.708405,401.291779,53.442425,343.86615,394.83905,52.97121,0,0,63.559776,8.410546,50.219925,-22.569607,0.747192,1000,150
61,'2019/05/26 17:36:27:257',3,508.809937,326.43576,49.098808,395.821533,283.285156,61.482216,353.788635,277.343445,61.506985,368.484253,401.916107,53.346756,342.741577,395.390289,52.852711,0,0,63.681473,9.197073,50.268169,-22.661818,0.747192,1000,150
62,'2019/05/26 17:36:27:309',3,508.708191,325.756714,49.056377,396.212494,282.925781,61.59359,354.237549,276.889404,61.596825,368.149445,401.361481,53.319439,342.486511,394.769165,52.814873,0,0,63.974804,9.740402,50.141483,-22.599573,0.747192,1000,150
63,'2019/05/26 17:36:27:365',3,508.582855,326.546997,48.950901,397.840393,283.433289,61.55719,355.936829,277.285278,61.573082,368.245789,401.98877,53.474854,342.635742,395.339813,52.973274,0,0,64.006256,9.841868,50.486946,-22.193777,0.747192,1000,150
64,'2019/05/26 17:36:27:418',3,508.847992,326.142731,49.016388,398.857452,283.229553,61.718876,357.061768,276.907104,61.70665,367.766907,401.446686,53.416821,342.297974,394.677704,52.902519,0,0,64.185585,10.701466,50.277672,-21.960632,0.747192,1000,150
65,'2019/05/26 17:36:27:477',3,508.123169,325.956482,48.962334,399.459473,283.180664,61.721622,357.728088,276.762909,61.694187,367.472961,401.342224,53.422363,342.076965,394.515594,52.898052,0,0,64.264297,11.135592,50.378864,-21.85931,0.747192,1000,150
66,'2019/05/26 17:36:27:532',3,508.295837,325.773132,48.951721,400.75769,282.97934,61.785217,359.088562,276.466492,61.768566,367.5755,401.036743,53.466064,342.234131,394.150055,52.948719,0,0,64.288071,11.270617,50.348606,-21.46312,0.747192,1000,150
67,'2019/05/26 17:42:30:895',4,509.987427,100.87027,54.800686,446.669525,83.455353,72.079391,426.536438,73.145966,74.532692,388.95752,73.902802,72.995697,337.214966,74.502167,68.140274,0,0,121.286476,8.471481,12.326864,10.877264,?,4000,?
68,'2019/05/26 17:42:30:951',4,509.820862,101.535706,54.776112,446.617981,86.256805,72.142204,427.077362,76.442719,74.719154,389.206421,73.687164,73.018005,337.202972,74.934784,68.238495,0,0,121.688774,8.601382,9.682858,10.834486,?,4000,?
69,'2019/05/26 17:42:31:007',4,509.259827,102.210083,54.670856,446.661926,86.451172,72.000412,427.147644,76.44165,74.589767,389.106659,73.045044,72.87571,336.945557,75.178925,68.162689,0,0,123.828178,8.170878,9.327178,10.993487,?,4000,?
